,level_0,CustomerID,Recency,Frequency,Monetory,R,F,M,RFM,RFM_Score,Loyality
0,0,2.0,9,33,93730.0,1,2,1,121,4,Platinum
1,1,3.0,328,3,38448.0,4,4,2,442,10,Silver
2,2,4.0,19,8,18051.0,1,3,3,133,7,Gold
3,3,6.0,73,5,7596.0,3,3,3,333,9,Silver
4,4,8.0,233,6,13980.0,4,3,3,433,10,Silver
5,5,10.0,252,4,20856.0,4,3,3,433,10,Silver
6,6,11.0,35,15,79738.0,2,2,2,222,6,Gold
7,7,13.0,58,19,34647.0,3,2,2,322,7,Gold
8,8,14.0,57,9,21012.0,3,3,3,333,9,Silver
9,9,15.0,288,4,10650.0,4,3,3,433,10,Silver
10,10,16.0,18,40,95351.0,1,2,1,121,4,Platinum
11,11,18.0,9,1,1100.0,1,4,4,144,9,Silver
12,12,20.0,9,4,8946.0,1,3,3,133,7,Gold
13,13,21.0,55,5,17132.0,2,3,3,233,8,Gold
14,14,22.0,61,4,12060.0,3,3,3,333,9,Silver
15,15,23.0,73,16,58494.0,3,2,2,322,7,Gold
16,16,24.0,315,2,9092.0,4,4,3,443,11,Bronze
17,17,25.0,29,1,2160.0,2,4,4,244,10,Silver
18,18,26.0,14,2,7790.0,1,4,3,143,8,Gold
19,19,27.0,316,17,36482.0,4,2,2,422,8,Gold
20,20,28.0,130,19,45875.0,3,2,2,322,7,Gold
21,21,29.0,83,5,12950.0,3,3,3,333,9,Silver
22,22,30.0,26,9,31884.0,2,3,2,232,7,Gold
23,23,31.0,42,12,29152.0,2,3,2,232,7,Gold
24,24,32.0,272,18,58153.0,4,2,2,422,8,Gold
25,25,33.0,131,1,1890.0,3,4,4,344,11,Bronze
26,26,34.0,367,2,7536.0,4,4,3,443,11,Bronze
27,27,35.0,151,7,17910.0,3,3,3,333,9,Silver
28,28,36.0,80,7,19980.0,3,3,3,333,9,Silver
29,29,38.0,76,4,9444.0,3,3,3,333,9,Silver
30,30,39.0,221,3,8304.0,4,4,3,443,11,Bronze
31,31,40.0,23,37,99495.0,2,2,1,221,5,Platinum
32,32,41.0,40,17,46824.0,2,2,2,222,6,Gold
33,33,42.0,46,12,32514.0,2,3,2,232,7,Gold
34,34,43.0,125,3,21288.0,3,4,3,343,10,Silver
35,35,45.0,328,3,8796.0,4,4,3,443,11,Bronze
36,36,47.0,152,4,18072.0,3,3,3,333,9,Silver
37,37,48.0,27,11,30828.0,2,3,2,232,7,Gold
38,38,49.0,58,1,2225.0,3,4,4,344,11,Bronze
39,39,50.0,37,19,82088.0,2,2,2,222,6,Gold
40,40,51.0,82,8,85230.0,3,3,2,332,8,Gold
41,41,52.0,309,5,9412.0,4,3,3,433,10,Silver
42,42,53.0,78,7,23838.0,3,3,3,333,9,Silver
43,43,54.0,68,7,16284.0,3,3,3,333,9,Silver
44,44,56.0,25,74,1636053.0,2,1,1,211,4,Platinum
45,45,57.0,9,12,23764.0,1,3,3,133,7,Gold
46,46,58.0,114,4,7884.0,3,3,3,333,9,Silver
47,47,60.0,19,6,9426.0,1,3,3,133,7,Gold
48,48,61.0,99,2,4978.0,3,4,4,344,11,Bronze
49,49,62.0,7,14,26238.0,1,2,2,122,5,Platinum
50,50,63.0,163,1,1524.0,4,4,4,444,12,Bronze
51,51,64.0,84,1,2928.0,3,4,4,344,11,Bronze
52,52,65.0,195,5,15144.0,4,3,3,433,10,Silver
53,53,66.0,64,1,2892.0,3,4,4,344,11,Bronze
54,54,67.0,31,23,59546.0,2,2,2,222,6,Gold
55,55,68.0,10,15,73220.0,1,2,2,122,5,Platinum
56,56,69.0,52,1,1800.0,2,4,4,244,10,Silver
57,57,70.0,63,58,282188.0,3,1,1,311,5,Platinum
